source_id,ra,dec,l,b,phot_g_mean_mag,bp_rp,parallax,parallax_error,priam_flags,flame_flags,a_g_val,e_bp_min_rp_val,teff_val,radius_val,radius_percentile_lower,radius_percentile_upper,original_ext_source_id,j_m,h_m,ks_m
2926877928550342144,100.98666063904925,-21.15103251262938,231.17428976184658,-11.049550464826886,18.968433,2.518795,1.191544279856665,0.2681969035764059,,,,,,,,,"06435681-2109034",16.162,15.811,15.276
2926842576678713344,101.6630260883072,-21.18267720978456,231.47574448832785,-10.491765226061371,17.187845,1.1062107,0.4513744183909264,0.07578584271769677,,,,,,,,,"06463912-2110576",15.66,15.444,15.34
2926887446197736064,101.22904379293477,-21.23905346191177,231.3529072888625,-10.882015063570803,14.729053,1.7044449,0.09010804153980319,0.028553743737185413,100001,,0.802,0.3945,4004.8176,,,,"06445496-2114206",12.537,11.785,11.592
2926875317210021632,100.89625189970131,-21.276682667248064,231.25410136142983,-11.179004219293997,17.680265,1.0528831,0.256956461118,0.11881623791276204,,,,,,,,,"06433502-2116357",16.167,15.965,15.728
2926864395112908800,101.11527713341518,-21.26286547206075,231.32918321910876,-10.988160950041028,16.819183,1.40909,0.17098529239387317,0.08434558429412063,100001,,,,4465.0,,,,"06442766-2115462",15.001,14.488,14.212
2926842954635947648,101.55155598072834,-21.25729068837198,231.49949243091416,-10.61754227147878,16.892206,1.0982761,0.16836733146976943,0.07341951175287276,100001,,,,4928.8633,,,,"06461237-2115262",15.46,15.22,14.988
2926884839157149696,101.31522410208373,-21.277592668736407,231.42309527020896,-10.825585571686043,17.878796,1.1590881,0.25324344445945424,0.12196819807385373,,,,,,,,,"06451565-2116391",16.35,15.829,15.196
2926844122867052288,101.49411134645295,-21.21536613693259,231.43773302881974,-10.64820565704755,14.272816,0.8563318,0.4481834583633855,0.02307237857952517,100001,200111,,,5761.3335,2.7022834,2.255636,3.0342982,"06455858-2112553",13.175,12.924,12.805
2926844427803545600,101.50851530754862,-21.213071196091345,231.44142241162407,-10.635074515523243,19.321804,2.170229,0.5467494708392345,0.3056053985524966,,,,,,,,,"06460204-2112471",16.442,15.926,15.582
2926874599955304576,100.93324049162595,-21.27544746821114,231.26778321431254,-11.147233769931525,14.194167,0.76893616,1.0454674517713454,0.025204105435160867,100001,200111,0.1683,0.0985,5914.6665,1.1349599,1.0804611,1.2299299,"06434397-2116315",13.203,12.903,12.859
2926888000253128320,101.14283532096994,-21.229594535815234,231.30954054937405,-10.950813715353652,9.506604,0.33459187,3.455923716066681,0.16006880844207494,102001,200111,,,6876.0,2.1871543,1.3208727,2.6056218,"06443426-2113466",8.811,8.695,8.705
2926880612909450496,100.91139714956995,-21.16160336516306,231.15383973164134,-11.11763662354399,14.727021,0.76208496,0.46455791065599217,0.027836761206381108,100001,200111,,,5637.527,2.2186787,1.8432869,2.8081665,"06433873-2109418",13.732,13.499,13.43
2926844122867051904,101.48895204643547,-21.211040811696407,231.4316700143563,-10.650722993264232,17.047983,1.2715797,0.27865844400121825,0.07353094909633975,100001,,,,4776.715,,,,"06455734-2112396",15.361,14.886,14.923
2926891195708635264,101.43231403149969,-21.200836259705845,231.39945396927962,-10.694197074916142,17.65347,0.94649506,0.18780035572186438,0.11131291500046747,,,,,,,,,"06454375-2112031",16.372,15.668,16.598
2926843023355423744,101.53536818498488,-21.244845991917156,231.48150884421725,-10.62591292956529,17.367865,1.0616493,0.5450805692524164,0.08734842859564003,,,,,,,,,"06460851-2114416",16.093,15.508,15.721
2926828935858996480,101.74507119636432,-21.27291941508025,231.59189242756045,-10.460971629412326,18.43905,,0.2789921277145833,0.22744766336983696,,,,,,,,,"06465880-2116220",16.198,15.84,15.225
2926880986567057280,100.9232612007727,-21.151076551492967,231.14887677558704,-11.103161868853572,18.393837,2.3753529,2.5390079391859017,0.17827503394716582,,,,,,,,,"06434158-2109037",15.859,15.272,14.954
2926846768566763776,101.62189616742661,-21.11464275472129,231.3965284934373,-10.497524383229036,15.173204,1.3059921,1.7835430323062116,0.033168722620516476,100001,200111,0.219,0.106,5005.0,0.6239384,0.60469836,0.6987343,"06462926-2106530",13.569,13.057,12.942
2926847043444670976,101.59621034507546,-21.096214284739045,231.36919673739945,-10.51136738992824,16.285116,0.9927139,0.45987125684949615,0.05127117507628922,100001,200111,0.445,0.221,5317.3335,1.2504629,1.1278642,1.3682122,"06462308-2105464",14.973,14.641,14.473
2926841541585523328,101.7277961412645,-21.211945503885957,231.52881839508075,-10.44958103761155,17.360443,0.94888306,0.2642603913015563,0.08814566513997357,,,,,,,,,"06465468-2112428",16.022,15.727,15.448
2926833952384545408,101.51998903317515,-21.31190282948275,231.5370880739687,-10.667366245588129,14.009697,0.76449966,1.187332967685223,0.01851755862675516,100001,200111,0.066,0.0367,6009.6665,1.0517621,0.84309685,1.2436749,"06460479-2118428",13.007,12.738,12.694
2926844706982584576,101.49715156615343,-21.192569671108206,231.41795903871898,-10.635956695404001,15.722594,1.0138083,0.306973895951672,0.03630578076046264,100001,200111,,,5201.9023,2.5580707,2.4399767,2.752947,"06455931-2111333",14.464,14.077,13.967
2926885384611660800,101.36359770034629,-21.22622381874711,231.39518862445422,-10.76297678891361,17.71785,0.91407585,0.06985399732804162,0.10933429989309963,,,,,,,,,"06452726-2113343",16.474,15.99,16.523
2926846940365456512,101.59430166025201,-21.095327053236513,231.36760947833682,-10.512601395471982,15.686584,0.90892696,0.6894300066548837,0.03916940817587166,100001,200111,0.188,0.095,5430.3535,1.0461302,0.852203,1.2008722,"06462263-2105431",14.527,14.194,14.074
2926841541585526528,101.73224782435986,-21.20927452961053,231.5281578498078,-10.444688639561905,17.069803,0.96294594,0.1641537534187149,0.07412852716393155,,,,,,,,,"06465574-2112333",15.753,15.491,15.306
2926844397744961280,101.46878518443296,-21.200011204232634,231.41338453314347,-10.663060671797792,15.489588,1.4272919,2.8677611344915936,0.033822518765224616,100001,,0.168,0.0762,4677.12,,,,"06455240-2111587",13.762,13.186,13.02
2926839999698448512,101.56010333436427,-21.264680888939434,231.5097422458772,-10.613471334926182,16.297724,1.0062275,0.7668439160505024,0.04587816196745396,100001,200111,,,5325.0,0.74302137,0.7219462,0.7690828,"06461442-2115528",15.023,14.697,14.509
2926840377655570432,101.56587370520491,-21.268652475440412,231.51572465272727,-10.610290972818335,15.1084585,0.92753124,0.5811287304801177,0.026356681868801714,100001,200111,,,5493.39,1.5773231,1.346287,1.6465515,"06461581-2116072",13.955,13.637,13.565
2926846837286241792,101.61172034322468,-21.108410834080743,231.38668445930068,-10.503462751497958,17.36645,0.90374565,0.0850919927518876,0.08726078457277828,,,,,,,,,"06462683-2106301",16.193,15.503,15.666
