index,Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,e_pmRA*,pmDE,e_pmDE,plx,e_plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs
1109,Ruprecht_1       ,99.084,-14.157,-136.04,-9.692,0.126,115,-0.316,0.098,-0.9,0.103,0.631,0.04,,8.46,0.61,10.93,1533.0,-1088.0,-1049.0,-258.0,9486.0,Cl Ruprecht 1                  ,99.084,-14.157
1116,Ruprecht_108     ,203.002,-58.509,-51.77699999999999,3.945,0.106,32,-9.025,0.178,-2.323,0.155,0.977,0.059,,7.92,0.27,9.98,992.0,612.0,-778.0,68.0,7766.0,Cl Ruprecht 108                ,203.0021,-58.509
1117,Ruprecht_111     ,219.01,-59.975,-44.327999999999975,0.284,0.089,130,-7.214,0.114,-6.113,0.093,0.666,0.042,,8.96,1.25,10.81,1451.0,1038.0,-1014.0,7.0,7371.0,Cl Ruprecht 111                ,219.0101,-59.975
1122,Ruprecht_121     ,250.436,-46.159,-21.28800000000001,0.094,0.101,330,-1.073,0.137,-2.569,0.116,0.462,0.041,,8.25,2.54,11.48,1974.0,1840.0,-716.0,3.0,6539.0,Cl Ruprecht 121                ,250.436,-46.159
1125,Ruprecht_128     ,266.063,-34.879,-5.223000000000013,-2.853,0.057,165,1.889,0.169,-1.262,0.137,0.498,0.07,,8.98,1.92,11.24,1772.0,1763.0,-161.0,-88.0,6578.0,Cl Ruprecht 128                ,266.063,-34.879
1128,Ruprecht_135     ,269.511,-11.646,16.405,6.269,0.072,48,1.42,0.121,-1.415,0.073,0.901,0.047,,8.81,1.87,10.12,1054.0,1005.0,296.0,115.0,7340.0,Cl Ruprecht 135                ,269.511,-11.646
1131,Ruprecht_144     ,278.437,-11.425,20.762,-1.321,0.15,32,0.142,0.125,-0.876,0.097,0.555,0.05,,7.48,1.9,11.01,1591.0,1487.0,564.0,-36.0,6875.0,Cl Ruprecht 144                ,278.437,-11.425
1132,Ruprecht_145     ,282.636,-18.27,16.464,-8.027,0.33,219,8.329,0.321,-4.08,0.282,1.651,0.069,,8.91,0.55,9.0,629.0,597.0,176.0,-87.0,7744.0,Cl Ruprecht 145                ,282.636,-18.27
1133,Ruprecht_147     ,289.087,-16.333,20.93,-12.76,0.652,169,-0.939,0.445,-26.576,0.581,3.25,0.103,,9.48,0.06,7.55,323.0,294.0,112.0,-71.0,8046.0,Cl Ruprecht 147                ,289.087,-16.3329
1135,Ruprecht_151     ,115.315,-16.279,-126.92099999999999,3.236,0.113,41,-4.272,0.158,3.242,0.171,0.867,0.056,,8.65,0.43,10.26,1126.0,-675.0,-899.0,63.0,9060.0,Cl Ruprecht 151                ,115.315,-16.279
1137,Ruprecht_161     ,152.4,-61.259,-75.30200000000002,-4.255,0.377,76,-10.391,0.122,3.742,0.196,1.086,0.036,,8.02,0.33,9.78,903.0,228.0,-871.0,-67.0,8158.0,Cl Ruprecht 161                ,152.4001,-61.259
1139,Ruprecht_167     ,215.15,-58.858,-45.74799999999999,2.04,0.179,80,-8.205,0.125,-4.838,0.112,0.613,0.047,,8.73,1.42,11.09,1652.0,1152.0,-1182.0,58.0,7284.0,Cl Ruprecht 167                ,215.1501,-58.858
1141,Ruprecht_171     ,278.012,-16.062,16.452,-3.089,0.113,719,7.677,0.187,1.091,0.165,0.62,0.066,,9.44,0.68,10.91,1522.0,1458.0,430.0,-82.0,6895.0,Cl Ruprecht 171                ,278.012,-16.062
1146,Ruprecht_19      ,111.48,-21.844,-123.80199999999999,-2.627,0.134,38,-2.605,0.058,3.841,0.092,0.679,0.042,,7.86,0.31,10.75,1409.0,-783.0,-1170.0,-64.0,9198.0,Cl Ruprecht 19                 ,111.48,-21.844
1150,Ruprecht_26      ,114.271,-15.587,-128.018,2.699,0.187,73,-3.2,0.094,0.071,0.092,0.923,0.049,,7.5,0.27,10.16,1078.0,-663.0,-848.0,50.0,9043.0,Cl Ruprecht 26                 ,114.271,-15.587
1176,Ruprecht_67      ,130.464,-43.363,-97.18200000000002,-0.761,0.058,53,-4.42,0.159,3.646,0.127,0.624,0.046,,8.63,1.26,11.03,1607.0,-200.0,-1594.0,-21.0,8688.0,Cl Ruprecht 67                 ,130.464,-43.363
1178,Ruprecht_71      ,132.316,-46.875,-93.62099999999998,-1.926,0.059,39,-5.22,0.079,4.642,0.076,0.486,0.038,,7.33,0.93,11.33,1844.0,-116.0,-1839.0,-61.0,8654.0,Cl Ruprecht 71                 ,132.316,-46.875
1180,Ruprecht_76      ,141.077,-51.651,-86.24700000000001,-0.916,0.057,37,-6.571,0.065,3.601,0.085,0.466,0.028,,8.49,1.12,11.44,1940.0,126.0,-1935.0,-31.0,8438.0,Cl Ruprecht 76                 ,141.077,-51.651
1187,Ruprecht_84      ,147.281,-65.259,-74.67500000000001,-8.825,0.06,63,-6.963,0.111,3.997,0.109,0.491,0.056,,8.54,0.45,11.19,1732.0,452.0,-1651.0,-265.0,8058.0,Cl Ruprecht 84                 ,147.2811,-65.259
1189,Ruprecht_91      ,161.964,-57.483,-73.09699999999998,1.492,0.23,193,-11.179,0.132,2.421,0.149,0.927,0.048,,8.14,0.19,10.15,1070.0,311.0,-1023.0,27.0,8093.0,Cl Ruprecht 91                 ,161.9641,-57.483
1194,Ruprecht_98      ,179.715,-64.581,-62.67399999999998,-2.283,0.835,110,-4.114,0.355,-8.632,0.264,2.044,0.07,,8.69,0.36,8.52,506.0,232.0,-449.0,-20.0,8119.0,Cl Ruprecht 98                 ,179.715,-64.581
1199,SAI_118          ,205.811,-63.146,-51.257000000000005,-0.861,0.088,108,-4.401,0.114,-2.335,0.092,0.514,0.039,,7.5,0.93,11.31,1829.0,1144.0,-1426.0,-27.0,7335.0,SAI 118                        ,205.811,-63.146
1223,Skiff_J0619+18.5 ,94.829,18.546,-167.164,1.556,0.157,11,-0.529,0.116,-1.284,0.078,0.644,0.06,,7.92,0.41,10.88,1502.0,-1464.0,-333.0,40.0,9810.0,Name Skiff J0619+18.5          ,94.829,18.546
1226,Stephenson_1     ,283.568,36.899,66.908,15.365,0.249,83,1.11,0.198,-3.01,0.247,2.779,0.056,,7.45,0.22,7.68,343.0,129.0,304.0,90.0,8215.0,Cl Stephenson 1                ,283.568,36.899
1227,Stock_1          ,294.146,25.163,60.287,2.076,0.742,173,6.034,0.306,0.302,0.332,2.447,0.077,,8.62,0.39,8.1,416.0,206.0,361.0,15.0,8141.0,Cl Stock 1                     ,294.146,25.163
1228,Stock_10         ,84.808,37.85,171.714,3.556,0.541,142,-3.114,0.265,-0.464,0.246,2.759,0.086,,7.91,0.44,7.86,373.0,-368.0,53.0,23.0,8708.0,Cl Stock 10                    ,84.808,37.85
1229,Stock_12         ,353.923,52.685,111.459,-8.491,0.403,107,8.527,0.203,-1.846,0.151,2.261,0.055,,8.05,0.29,8.29,454.0,-164.0,418.0,-67.0,8514.0,Cl Stock 12                    ,353.9229,52.685
1234,Stock_2          ,33.856,59.522,133.407,-1.63,1.03,1178,15.966,0.65,-13.627,0.591,2.641,0.076,,8.6,0.5,8.01,399.0,-274.0,290.0,-11.0,8619.0,Cl Stock 2                     ,33.8559,59.5221
1237,Stock_23         ,49.075,60.377,139.927,2.376,0.754,83,-4.261,0.207,-0.865,0.206,1.613,0.056,,8.04,0.61,8.98,625.0,-478.0,402.0,25.0,8827.0,Cl Stock 23                    ,49.075,60.377
1239,Stock_4          ,28.039,57.055,131.148,-4.845,0.163,44,-1.115,0.141,0.341,0.12,0.729,0.058,,7.85,0.56,10.61,1322.0,-866.0,992.0,-111.0,9260.0,Cl Stock 4                     ,28.039,57.055
1240,Stock_5          ,31.119,64.365,130.731,2.605,0.193,101,-0.729,0.14,-2.069,0.122,1.013,0.047,,8.12,1.21,9.95,975.0,-636.0,738.0,44.0,9006.0,Cl Stock 5                     ,31.119,64.365
1241,Stock_7          ,37.431,60.627,134.701,0.02,0.279,129,-3.496,0.162,0.484,0.229,1.441,0.053,,7.86,1.46,9.25,708.0,-498.0,503.0,0.0,8852.0,Cl Stock 7                     ,37.431,60.627
1263,Teutsch_30       ,306.929,36.074,75.352,-1.426,0.026,29,-3.18,0.104,-5.692,0.143,0.539,0.041,,7.46,3.41,11.23,1760.0,445.0,1703.0,-43.0,8076.0,Teutsch 30                     ,306.929,36.074
1265,Teutsch_35       ,294.091,35.742,69.565,7.218,0.414,143,-0.683,0.188,-2.439,0.191,2.007,0.057,,8.01,0.0,8.54,509.0,176.0,473.0,64.0,8177.0,Teutsch 35                     ,294.091,35.742
1266,Teutsch_38       ,131.523,-38.025,-100.87799999999999,3.175,0.615,100,-8.636,0.211,3.669,0.18,1.502,0.058,,7.57,0.01,9.14,671.0,-126.0,-658.0,37.0,8492.0,Teutsch 38                     ,131.523,-38.025
1278,Teutsch_8        ,300.598,35.31,71.86,2.424,0.006,28,-3.496,0.149,-6.704,0.313,0.492,0.07,,6.6,2.2,11.49,1982.0,616.0,1881.0,83.0,7949.0,Teutsch 8                      ,300.598,35.31
1286,Tombaugh_5       ,56.984,59.07,143.944,3.599,0.17,444,0.515,0.113,-2.388,0.12,0.561,0.041,,8.27,2.07,11.16,1706.0,-1377.0,1002.0,107.0,9768.0,Cl Tombaugh 5                  ,56.984,59.07
1288,Trumpler_10      ,131.943,-42.566,-97.13400000000001,0.582,0.89,446,-12.532,0.401,6.527,0.275,2.287,0.075,,7.51,0.0,8.15,427.0,-53.0,-424.0,4.0,8403.0,Cl Trumpler 10                 ,131.9431,-42.566
1296,Trumpler_18      ,167.826,-60.656,-69.036,-0.132,0.069,29,-7.172,0.06,0.569,0.079,0.624,0.026,,7.68,0.76,10.91,1523.0,545.0,-1422.0,-3.0,7923.0,Cl Trumpler 18                 ,167.8261,-60.656
1298,Trumpler_2       ,39.232,55.905,137.386,-3.977,0.323,154,1.583,0.192,-5.352,0.167,1.431,0.058,,8.05,0.86,9.26,710.0,-521.0,479.0,-49.0,8874.0,Cl Trumpler 2                  ,39.232,55.905
1300,Trumpler_21      ,203.068,-62.787,-52.41899999999998,-0.284,0.071,95,-4.682,0.117,-2.312,0.116,0.722,0.045,,7.69,0.58,10.61,1326.0,809.0,-1051.0,-6.0,7603.0,Cl Trumpler 21                 ,203.068,-62.787
1304,Trumpler_26      ,262.126,-29.487,-2.4700000000000273,2.855,0.072,71,-0.873,0.129,-3.082,0.095,0.623,0.064,,8.4,1.78,10.91,1524.0,1520.0,-65.0,75.0,6819.0,Cl Trumpler 26                 ,262.126,-29.487
1305,Trumpler_28      ,264.231,-32.469,-3.98599999999999,-0.283,0.089,103,-0.851,0.185,-2.824,0.152,0.678,0.077,,7.89,1.79,10.73,1397.0,1394.0,-97.0,-6.0,6946.0,Cl Trumpler 28                 ,264.231,-32.469
1306,Trumpler_29      ,265.347,-40.158,-10.033000000000015,-5.129,0.145,142,0.489,0.122,-2.308,0.101,0.673,0.063,,7.71,0.72,10.86,1488.0,1459.0,-258.0,-133.0,6884.0,Cl Trumpler 29                 ,265.347,-40.158
1307,Trumpler_3       ,48.004,63.218,138.014,4.54,0.276,211,-3.354,0.168,-0.112,0.126,1.461,0.056,,7.67,0.69,9.21,693.0,-514.0,462.0,54.0,8866.0,Cl Trumpler 3                  ,48.004,63.218
1308,Trumpler_30      ,269.182,-35.298,-4.2830000000000155,-5.263,0.096,125,1.243,0.131,-2.189,0.117,0.707,0.071,,8.64,0.81,10.65,1346.0,1336.0,-100.0,-123.0,7003.0,Cl Trumpler 30                 ,269.182,-35.298
1309,Trumpler_32      ,274.294,-13.349,17.17,1.358,0.057,123,-1.052,0.117,1.158,0.122,0.578,0.062,,9.13,1.32,11.03,1608.0,1536.0,474.0,38.0,6819.0,Cl Trumpler 32                 ,274.294,-13.349
1310,Trumpler_33      ,276.159,-19.711,12.395,-3.213,0.048,29,0.435,0.132,0.449,0.094,0.677,0.04,,7.76,1.22,10.81,1455.0,1418.0,311.0,-81.0,6928.0,Cl Trumpler 33                 ,276.159,-19.711
1314,Trumpler_7       ,111.849,-23.949,-121.78399999999999,-3.325,0.066,102,-2.484,0.122,3.329,0.114,0.554,0.066,,7.82,0.78,11.17,1712.0,-900.0,-1453.0,-99.0,9354.0,Cl Trumpler 7                  ,111.849,-23.949
1316,Turner_3         ,274.393,-18.875,12.351,-1.348,0.02,16,0.474,0.116,-2.504,0.121,0.584,0.051,,7.99,1.81,11.18,1719.0,1679.0,367.0,-40.0,6670.0,Cl Turner 3                    ,274.393,-18.875
1317,Turner_5         ,143.284,-36.358,-95.75,11.212,0.781,22,0.092,0.248,-3.115,0.185,2.373,0.102,,8.51,0.04,8.19,435.0,-42.0,-424.0,84.0,8393.0,Cl Turner 5                    ,143.284,-36.358
1318,Turner_9         ,296.165,29.494,64.943,2.648,0.151,34,0.346,0.092,-2.399,0.075,0.563,0.034,,8.49,0.85,11.25,1774.0,750.0,1605.0,81.0,7757.0,Cl Turner 9                    ,296.165,29.494
1319,UBC_1            ,287.87,56.801,87.496,19.816,0.665,47,-2.579,0.242,3.649,0.26,3.049,0.03,,7.84,0.35,7.57,326.0,13.0,306.0,110.0,8332.0,                               ,287.87,56.801
1320,UBC_100          ,281.238,-11.127,22.285,-3.655,0.104,25,-1.111,0.077,-3.323,0.097,0.702,0.009,,8.2,1.38,10.78,1429.0,1320.0,541.0,-91.0,7040.0,                               ,281.238,-11.127
1322,UBC_102          ,280.613,-6.904,25.757,-1.155,0.091,42,-1.027,0.09,-2.503,0.099,0.513,0.021,,8.52,1.16,11.37,1877.0,1690.0,815.0,-37.0,6698.0,                               ,280.613,-6.904
1328,UBC_108          ,281.611,-5.181,27.763,-1.271,0.111,46,-2.94,0.068,-3.648,0.058,0.627,0.015,,8.87,1.92,11.0,1585.0,1402.0,738.0,-35.0,6976.0,                               ,281.611,-5.181
1329,UBC_10a          ,324.652,62.206,102.416,7.285,0.512,43,-2.131,0.1,-3.031,0.118,1.075,0.016,,7.15,0.89,9.71,873.0,-186.0,846.0,110.0,8568.0,                               ,324.652,62.206
1330,UBC_10b          ,327.047,61.032,102.507,5.653,0.474,40,-3.471,0.1,-1.859,0.106,1.015,0.023,,7.75,1.36,10.01,1006.0,-216.0,977.0,99.0,8612.0,                               ,327.047,61.032
1331,UBC_11           ,246.666,-59.936,-32.999000000000024,-7.548,1.034,44,-0.342,0.343,-6.794,0.237,2.147,0.038,,7.83,0.44,8.24,444.0,369.0,-240.0,-58.0,7973.0,                               ,246.666,-59.936
1334,UBC_114          ,286.446,-0.399,34.205,-3.367,0.103,39,-1.47,0.12,-1.874,0.075,0.656,0.029,,7.7,1.02,10.91,1517.0,1252.0,851.0,-89.0,7138.0,                               ,286.446,-0.399
1335,UBC_118          ,282.649,9.763,41.551,4.643,0.11,85,-0.237,0.127,-4.23,0.118,0.654,0.038,,8.6,0.93,10.9,1512.0,1127.0,999.0,122.0,7280.0,                               ,282.649,9.763
